Name	barcode10	barcode11	barcode12
AT3G01040.1	30.834933	6.95507	32.335252
AT3G01040_P2	0.0	0.0	0.0
AT3G01040_P3	0.0	0.0	0.0
AT3G01050_JC6	0.0	20.384664	17.178919
AT3G01050_JS4	16.907959	14.475453	0.0
AT3G01050_c4	191.227838	159.88185	152.581154
AT3G01060.2	0.0	0.0	0.0
AT3G01060.3	0.0	0.0	0.0
AT3G01060_P1	15.417466	13.91014	0.0
AT3G01070_P1	0.0	0.0	8.083813
AT3G01080_P2	0.0	0.0	0.0
AT3G01090.1	84.796065	70.794245	185.927698
AT3G01090_ID20	0.0	0.0	0.0
AT3G01090_ID23	0.0	26.576738	0.0
AT3G01090_s1	0.0	0.0	0.0
AT3G01100_ID2	0.0	0.0	0.0
AT3G01100_JS4	23.1262	48.685492	16.167626
AT3G01100_JS6	0.0	0.0	0.0
AT3G01100_P1	0.0	0.0	0.0
AT3G01100_P2	0.0	0.0	0.0
AT3G01100_P3	0.0	0.0	0.0
AT3G01120_P1	331.475529	222.562248	307.184893
AT3G01120_c1	0.0	0.0	0.0
AT3G01120_c2	0.0	0.0	0.0
AT3G01120_c3	0.0	0.0	0.0
AT3G01130.2	0.0	0.0	0.0
AT3G01130_P1	102.380309	89.977317	80.957548
AT3G01130_P3	0.0	0.0	0.0
AT3G01130_P5	0.0	0.0	0.0
AT3G01130_P7	105.755488	83.899439	121.137776
AT3G01130_P8	0.0	0.0	0.0
AT3G01140_ID4	7.708733	20.865211	16.167626
AT3G01140_ID8	0.0	0.0	0.0
AT3G01142.1	0.0	0.0	16.167626
AT3G01150.1	123.339732	92.014562	129.341008
AT3G01150_c1	0.0	0.0	0.0
AT3G01150_c2	0.0	33.176702	0.0
AT3G01160_P1	69.378599	69.550702	88.921943
AT3G01170_P1	115.630998	76.505773	56.586691
AT3G01175.1	30.833234	6.95507	32.335252
AT3G01180_P1	38.545365	6.95507	24.251439
AT3G01190_P1	92.504799	41.730421	137.424821
AT3G01200_P1	90.445271	151.38346	137.424821
AT3G01200_c1	56.02066	15.363266	0.0
AT3G01202_ID1	0.0	7.130031	0.0
AT3G01210_ID2	0.0	0.0	0.0
AT3G01210_P1	46.252399	41.730421	40.419065
AT3G01210_c1	0.0	0.0	0.0
AT3G01220.1	38.543666	27.820281	24.251439
AT3G01260.1	0.0	0.0	8.083813
AT3G01280.1	531.902592	715.252569	751.794606
AT3G01280_ID8	0.0	8.074737	0.0
AT3G01290.1	2605.608578	2420.364446	2061.372308
AT3G01300_P1	123.339732	83.460843	121.257195
AT3G01310_ID14	0.0	0.0	0.0
AT3G01310_ID7	0.0	0.0	0.0
AT3G01310_JC5	0.0	0.0	0.0
AT3G01310_JS2	0.0	0.0	0.0
AT3G01310_P1	170.052889	92.265901	0.0
AT3G01310_P2	38.082908	151.161558	226.883934
AT3G01310_P3	0.0	0.0	72.217146
AT3G01313.1	0.0	0.0	0.0
AT3G01319.1	0.0	0.0	0.0
AT3G01320.1	38.543666	76.505773	48.502878
AT3G01320.2	0.0	0.0	0.0
AT3G01330.1	0.0	0.0	0.0
AT3G01340.2	24.972772	43.447084	0.0
AT3G01340_c1	149.552878	68.16976	90.630537
AT3G01340_P1	234.03721	354.372863	386.314429
AT3G01345.1	0.0	0.0	0.0
AT3G01350_P1	7.708733	0.0	16.167626
AT3G01350_c1	0.0	0.0	0.0
AT3G01360.1	0.0	0.0	0.0
AT3G01360_ID2	7.708733	0.0	0.0
AT3G01360_ID3	30.834933	41.730421	36.377158
AT3G01360_ID5	0.0	0.0	36.377158
AT3G01370_ID12	0.0	0.0	0.0
AT3G01370_P1	115.630998	90.415913	137.424821
AT3G01370_s1	0.0	0.0	0.0
AT3G01380_P1	0.0	0.0	0.0
AT3G01380_P2	0.0	0.0	0.0
AT3G01380_c1	0.0	6.95507	16.167626
AT3G01380_c2	0.0	0.0	0.0
AT3G01380_c4	23.1262	0.0	0.0
AT3G01390_JC1	0.0	0.0	0.0
AT3G01390_P1	0.0	0.0	32.529923
AT3G01390_P2	562.737525	465.989706	856.689504
AT3G01390_c1	0.0	0.0	0.0
AT3G01400_P1	146.465931	125.191264	129.341008
AT3G01410.2	0.0	0.0	0.0
AT3G01410_P1	0.0	0.0	8.083813
AT3G01420_P1	211.992223	306.023091	226.346763
AT3G01420_c1	211.988104	0.0	0.0
AT3G01420_c2	0.0	0.0	0.0
AT3G01430.1	15.417466	41.730421	24.251439
AT3G01435_P1	53.961133	76.505773	32.335252
AT3G01435_P2	0.0	0.0	0.0
AT3G01440.1	0.0	0.0	8.083813
AT3G01450_P1	0.0	27.820281	48.502878
AT3G01450_P2	23.1262	0.0	0.0
AT3G01460_P1	30.834933	62.595632	24.251439
AT3G01470.1	1179.436183	1439.699541	1277.24245
AT3G01475_P1	0.0	0.0	0.0
AT3G01480.2	0.0	0.0	0.0
AT3G01480_P1	146.465931	0.0	129.341008
AT3G01480_c1	0.0	118.236194	0.0
AT3G01490.1	53.961133	68.417686	48.723629
AT3G01490_JC5	0.0	0.0	0.0
AT3G01490_P2	0.0	0.0	18.664942
AT3G01490_c1	53.961132	49.818508	45.78481
AT3G01490_c2	0.0	0.0	0.0
AT3G01500.1	0.0	0.0	0.0
AT3G01500.2	0.0	21.779038	26.37118
AT3G01500_ID11	42.398076	0.0	70.634575
AT3G01500_ID12	0.0	0.0	0.0
AT3G01500_ID7	0.0	0.0	0.0
AT3G01500_ID8	0.0	0.0	0.0
AT3G01500_P4	42.39799	33.861524	0.0
AT3G01500_c1	0.0	0.0	0.0
AT3G01510_JS2	15.417466	0.0	0.0
AT3G01510_JS3	0.0	6.95507	16.167626
AT3G01510_P1	0.0	0.0	0.0
AT3G01513_P1	23.1262	13.91014	24.251439
AT3G01516_P1	0.0	6.95507	56.870828
AT3G01520.1	1496.027779	1665.794703	1457.761083
AT3G01520_ID1	45.718866	72.972859	61.711619
AT3G01540.3	0.0	0.0	141.219041
AT3G01540.4	22.984768	0.0	0.0
AT3G01540_ID4	0.0	56.46084	38.126355
AT3G01540_ID9	73.462558	63.596118	0.0
AT3G01540_JC2	0.0	0.0	54.887173
AT3G01540_JC4	0.0	0.0	0.0
AT3G01540_JC7	0.0	0.0	0.0
AT3G01540_JC9	0.0	0.0	0.0
AT3G01540_JS11	0.0	0.0	31.351419
AT3G01540_JS7	0.0	0.0	0.0
AT3G01540_P1	165.649603	141.719921	179.025725
AT3G01540_P2	0.0	160.203199	0.0
AT3G01540_c1	0.0	0.0	0.0
AT3G01540_c2	0.0	0.0	0.0
AT3G01540_c3	0.0	0.0	0.0
AT3G01540_c4	0.0	16.189348	0.0
AT3G01540_s6	0.0	0.0	0.0
AT3G01540_s7	0.0	0.0	0.0
AT3G01540_s8	0.0	0.0	0.0
AT3G01540_s9	0.0	0.0	0.0
AT3G01550_P1	0.0	0.0	0.0
AT3G01550_P2	0.0	0.0	0.0
AT3G01560.1	131.048465	173.876756	242.514389
AT3G01560_ID1	0.0	0.0	0.0
AT3G01560_ID2	0.0	0.0	0.0
AT3G01570.1	7.708733	0.0	0.0
AT3G01572.1	0.0	0.0	0.0
AT3G01580_P1	0.0	0.0	0.0
AT3G01590_ID14	0.0	0.0	0.0
AT3G01590_ID15	45.0386	90.426578	153.592446
AT3G01590_ID5	0.0	0.0	0.0
AT3G01590_ID9	0.0	0.0	0.0
AT3G01590_P1	124.553531	90.405249	0.0
AT3G01600_P1	0.0	6.95507	0.0
AT3G01610.1	23.1262	27.820281	24.251439
AT3G01610_c1	0.0	0.0	0.0
AT3G01620_P1	0.0	0.0	0.0
AT3G01640_ID4	0.0	29.195553	0.0
AT3G01640_P2	23.1262	82.085571	72.754317
AT3G01650_ID2	61.669866	48.685492	113.173382
AT3G01650_JS1	0.0	0.0	0.0
AT3G01650_P1	0.0	0.0	0.0
AT3G01650_P2	0.0	0.0	0.0
AT3G01650_c2	0.0	0.0	0.0
AT3G01650_s1	0.0	0.0	0.0
AT3G01660_P1	0.0	41.730421	32.335252
AT3G01670_P2	15.417466	34.775351	32.335252
AT3G01680_P1	38.543666	20.865211	16.167626
AT3G01690_JS2	0.0	0.0	0.0
AT3G01690_P1	0.0	427.893862	687.124103
AT3G01690_s1	562.737525	406.714567	0.0
AT3G01710.2	0.0	0.0	0.0
AT3G01710_P1	0.0	0.0	0.0
AT3G01720_P1	15.417466	0.0	48.502878
AT3G01720_c1	0.0	0.0	0.0
AT3G01730_P1	0.0	0.0	0.0
