Name	barcode07	barcode08	barcode09
AT3G01040.1	0.0	73.907099	28.969273
AT3G01040_P2	28.445779	0.0	0.0
AT3G01040_P3	0.0	0.0	0.0
AT3G01050_JC6	17.866596	0.0	13.453233
AT3G01050_JS4	0.0	0.0	15.614236
AT3G01050_c4	107.294834	184.767747	77.153199
AT3G01060.2	42.458405	32.300161	0.0
AT3G01060.3	0.0	0.0	173.81564
AT3G01060_P1	185.107831	244.851459	0.0
AT3G01070_P1	0.0	0.0	0.0
AT3G01080_P2	0.0	0.0	0.0
AT3G01090.1	102.404806	111.745525	0.0
AT3G01090_ID20	0.0	0.0	0.0
AT3G01090_ID23	0.0	26.830285	0.0
AT3G01090_s1	0.0	0.0	135.189942
AT3G01100_ID2	0.0	0.0	0.0
AT3G01100_JS4	34.134935	0.0	0.0
AT3G01100_JS6	0.0	0.0	0.0
AT3G01100_P1	0.0	36.953549	19.312849
AT3G01100_P2	0.0	0.0	0.0
AT3G01100_P3	0.0	0.0	0.0
AT3G01120_P1	2144.811774	1884.631019	1516.058634
AT3G01120_c1	0.0	0.0	0.0
AT3G01120_c2	0.0	0.0	0.0
AT3G01120_c3	0.0	0.0	0.0
AT3G01130.2	0.0	0.0	0.0
AT3G01130_P1	174.256553	116.789762	159.573665
AT3G01130_P3	0.0	0.0	0.0
AT3G01130_P5	0.0	0.0	0.0
AT3G01130_P7	292.25423	160.361859	390.842527
AT3G01130_P8	0.0	0.0	0.0
AT3G01140_ID4	49.927946	13.857544	59.740999
AT3G01140_ID8	12.652768	0.0	0.0
AT3G01142.1	0.0	13.857618	17.510397
AT3G01150.1	108.093962	46.191937	77.251395
AT3G01150_c1	0.0	0.0	0.0
AT3G01150_c2	0.0	0.0	0.0
AT3G01160_P1	261.701171	323.343557	280.036308
AT3G01170_P1	73.959027	73.907099	38.625698
AT3G01175.1	0.0	0.0	0.0
AT3G01180_P1	113.783118	92.383873	67.594971
AT3G01190_P1	45.513247	46.191937	86.90782
AT3G01200_P1	113.426711	0.0	92.740145
AT3G01200_c1	0.0	36.953549	23.136948
AT3G01202_ID1	6.045563	0.0	0.0
AT3G01210_ID2	0.0	68.90058	0.0
AT3G01210_P1	117.890326	32.72168	67.594971
AT3G01210_c1	0.0	0.0	0.0
AT3G01220.1	47.095195	46.191937	48.282122
AT3G01260.1	5.689156	18.476775	9.656424
AT3G01280.1	1661.233523	1208.695367	1264.991599
AT3G01280_ID8	0.0	10.843586	0.0
AT3G01290.1	295.836107	175.52936	183.472064
AT3G01300_P1	73.959027	55.430324	28.969273
AT3G01310_ID14	0.0	0.0	0.0
AT3G01310_ID7	0.0	0.0	0.0
AT3G01310_JC5	0.0	86.676201	0.0
AT3G01310_JS2	0.0	0.0	28.061794
AT3G01310_P1	65.426939	0.0	0.0
AT3G01310_P2	65.423647	0.0	0.0
AT3G01310_P3	0.0	98.091546	116.784572
AT3G01313.1	0.0	9.238387	0.0
AT3G01319.1	0.0	0.0	0.0
AT3G01320.1	51.202403	0.0	67.594971
AT3G01320.2	0.0	36.953549	0.0
AT3G01330.1	0.0	0.0	19.312849
AT3G01340.2	0.0	0.0	119.265507
AT3G01340_c1	106.31963	121.987843	37.548141
AT3G01340_P1	422.771869	339.931524	268.069027
AT3G01345.1	0.0	0.0	0.0
AT3G01350_P1	19.141784	36.953549	0.0
AT3G01350_c1	0.0	0.0	0.0
AT3G01360.1	0.0	0.0	0.0
AT3G01360_ID2	6.368055	0.0	12.230462
AT3G01360_ID3	31.38172	27.715162	26.395236
AT3G01360_ID5	0.0	0.0	0.0
AT3G01370_ID12	0.0	0.0	0.0
AT3G01370_P1	99.363741	0.0	0.0
AT3G01370_s1	99.756716	110.860648	164.159215
AT3G01380_P1	0.0	0.0	0.0
AT3G01380_P2	0.0	0.0	0.0
AT3G01380_c1	5.689156	18.476775	19.312849
AT3G01380_c2	0.0	0.0	0.0
AT3G01380_c4	0.0	0.0	0.0
AT3G01390_JC1	0.0	0.0	0.0
AT3G01390_P1	33.019343	0.0	58.839502
AT3G01390_P2	1582.700933	1662.909722	1621.378347
AT3G01390_c1	0.0	0.0	0.0
AT3G01400_P1	113.783118	92.383873	77.251395
AT3G01410.2	0.0	12.492622	9.656424
AT3G01410_P1	62.580715	33.699314	0.0
AT3G01420_P1	153.607209	0.0	164.159215
AT3G01420_c1	0.0	138.57581	0.0
AT3G01420_c2	0.0	0.0	0.0
AT3G01430.1	22.756624	9.238387	31.177881
AT3G01435_P1	77.320576	46.191937	94.355636
AT3G01435_P2	8.016762	0.0	0.0
AT3G01440.1	449.443316	498.872917	434.539099
AT3G01450_P1	0.0	0.0	0.0
AT3G01450_P2	34.134935	83.145486	0.0
AT3G01460_P1	68.269871	27.715162	38.625698
AT3G01470.1	494.956563	526.588079	366.944128
AT3G01475_P1	0.0	0.0	0.0
AT3G01480.2	62.227809	0.0	0.0
AT3G01480_P1	370.148039	0.0	211.341059
AT3G01480_c1	0.0	277.15162	145.946644
AT3G01490.1	0.0	0.0	135.189942
AT3G01490_JC5	0.0	0.0	0.0
AT3G01490_P2	0.0	0.0	0.0
