Name	barcode04	barcode05	barcode06
AT3G01040.1	0.0	0.0	0.0
AT3G01040_P2	22.800511	0.0	0.0
AT3G01040_P3	0.0	69.000658	77.94536
AT3G01050_JC6	27.331727	35.304089	15.203462
AT3G01050_JS4	15.188054	0.0	55.860565
AT3G01050_c4	101.883454	113.312713	55.597183
AT3G01060.2	0.0	0.0	0.0
AT3G01060.3	0.0	0.0	0.0
AT3G01060_P1	15.20034	10.615486	19.48634
AT3G01070_P1	30.400681	15.923229	0.0
AT3G01080_P2	0.0	0.0	0.0
AT3G01090.1	96.606793	148.888217	213.575354
AT3G01090_ID20	0.0	0.0	0.0
AT3G01090_ID23	0.0	9.909955	0.0
AT3G01090_s1	70.596953	37.588316	49.490238
AT3G01100_ID2	0.0	0.0	0.0
AT3G01100_JS4	27.412053	56.820325	0.0
AT3G01100_JS6	0.0	0.0	0.0
AT3G01100_P1	18.356078	0.0	16.82517
AT3G01100_P2	118.175633	81.180991	109.920303
AT3G01100_P3	18.460323	0.0	38.888419
AT3G01120_P1	293.504158	398.059913	555.360692
AT3G01120_c1	0.0	0.0	0.0
AT3G01120_c2	192.906738	127.427673	0.0
AT3G01120_c3	0.0	0.0	0.0
AT3G01130.2	0.0	0.0	0.0
AT3G01130_P1	64.626932	61.922035	18.397325
AT3G01130_P3	0.0	0.0	0.0
AT3G01130_P5	79.030057	59.548439	90.494892
AT3G01130_P7	122.34897	43.069557	76.228014
AT3G01130_P8	0.0	0.0	0.0
AT3G01140_ID4	38.000851	0.0	38.97268
AT3G01140_ID8	0.0	14.508385	0.0
AT3G01142.1	0.0	6.722586	0.0
AT3G01150.1	67.035088	85.790617	99.430813
AT3G01150_c1	25.533169	8.859494	46.780969
AT3G01150_c2	67.035319	85.813149	19.422109
AT3G01160_P1	114.002554	148.616802	116.91804
AT3G01170_P1	136.803064	180.46326	146.147551
AT3G01175.1	45.601021	26.538715	9.74317
AT3G01180_P1	30.400681	37.154201	68.20219
AT3G01190_P1	114.002554	31.846458	38.97268
AT3G01200_P1	79.595762	66.382043	14.776885
AT3G01200_c1	148.409346	193.697361	160.600175
AT3G01202_ID1	0.0	0.0	0.0
AT3G01210_ID2	196.11933	89.981531	0.0
AT3G01210_P1	31.885777	36.34121	0.0
AT3G01210_c1	0.0	0.0	116.91804
AT3G01220.1	76.001702	32.909547	68.20219
AT3G01260.1	60.801362	26.538715	29.22951
AT3G01280.1	492.946854	414.003949	389.726802
AT3G01280_ID8	8.664382	0.0	0.0
AT3G01290.1	1177.36607	1082.248557	925.601154
AT3G01300_P1	114.002554	79.616144	68.20219
AT3G01310_ID14	18.766923	0.0	31.832015
AT3G01310_ID7	0.0	0.0	0.0
AT3G01310_JC5	0.0	0.0	0.0
