Name	barcode01	barcode02	barcode03
AT3G01040.1	0.0	66.619716	175.00875
AT3G01040_P2	0.0	0.0	0.0
AT3G01040_P3	166.362735	0.0	0.0
AT3G01050_JC6	10.018608	0.0	70.0035
AT3G01050_JS4	11.724259	0.0	0.0
AT3G01050_c4	125.424167	180.824942	0.0
AT3G01060.2	36.284498	0.0	0.0
AT3G01060.3	0.0	0.0	0.0
AT3G01060_P1	123.67967	199.859147	105.00525
AT3G01070_P1	19.1957	0.0	0.0
AT3G01080_P2	0.0	0.0	0.0
AT3G01090.1	143.421496	170.571499	220.226351
AT3G01090_ID20	0.0	0.0	0.0
AT3G01090_ID23	42.244833	29.287648	0.0
AT3G01090_s1	93.806271	0.0	59.78765
AT3G01100_ID2	0.0	0.0	0.0
AT3G01100_JS4	0.0	0.0	140.007
AT3G01100_JS6	131.786577	0.0	0.0
AT3G01100_P1	0.0	0.0	0.0
AT3G01100_P2	17.444793	89.767535	0.0
AT3G01100_P3	0.0	33.954794	0.0
AT3G01120_P1	1275.747279	2255.553229	1960.098005
AT3G01120_c1	0.0	0.0	0.0
AT3G01120_c2	464.662869	0.0	0.0
AT3G01120_c3	0.0	0.0	0.0
AT3G01130.2	0.0	0.0	0.0
AT3G01130_P1	0.0	19.712389	101.325423
AT3G01130_P3	25.966652	0.0	0.0
AT3G01130_P5	109.271511	140.592248	43.467131
AT3G01130_P7	88.711672	125.20843	135.221447
AT3G01130_P8	0.0	0.0	0.0
AT3G01140_ID4	26.705854	61.803719	64.196345
AT3G01140_ID8	0.0	0.0	0.0
AT3G01142.1	24.48268	23.850201	75.810655
AT3G01150.1	85.754599	92.117608	0.0
AT3G01150_c1	61.021924	0.0	0.0
AT3G01150_c2	38.781912	24.548552	105.00525
AT3G01160_P1	492.689638	406.774463	280.014001
AT3G01170_P1	127.971334	180.824942	105.00525
AT3G01175.1	12.797133	0.0	0.0
AT3G01180_P1	204.754135	247.444658	280.014001
AT3G01190_P1	44.789967	47.585511	140.007
AT3G01200_P1	48.020483	40.539567	41.446524
AT3G01200_c1	137.537952	64.148557	273.569227
AT3G01202_ID1	0.0	0.0	0.0
AT3G01210_ID2	219.74558	149.338055	455.022751
AT3G01210_P1	31.438223	136.175012	0.0
AT3G01210_c1	0.0	0.0	0.0
AT3G01220.1	25.594267	9.517102	35.00175
AT3G01260.1	25.594267	66.619716	0.0
AT3G01280.1	972.582142	1008.812837	1400.070004
AT3G01280_ID8	0.0	0.0	0.0
AT3G01290.1	95.978501	161.790738	70.0035
AT3G01300_P1	70.384234	57.102613	0.0
AT3G01310_ID14	0.0	0.0	0.0
AT3G01310_ID7	12.435516	0.0	245.012251
AT3G01310_JC5	0.0	0.0	0.0
AT3G01310_JS2	0.0	25.068882	0.0
AT3G01310_P1	0.0	0.0	0.0
AT3G01310_P2	152.089567	49.24198	0.0
AT3G01310_P3	91.417586	173.133796	0.0
AT3G01313.1	0.0	19.034204	35.00175
AT3G01319.1	0.0	0.0	0.0
AT3G01320.1	115.174201	152.273636	105.00525
AT3G01320.2	0.0	0.0	0.0
AT3G01330.1	63.985667	28.551307	0.0
AT3G01340.2	0.0	36.05801	0.0
AT3G01340_c1	56.092938	56.180172	0.0
AT3G01340_P1	321.422499	240.860396	420.021001
AT3G01345.1	0.0	0.0	0.0
AT3G01350_P1	54.607939	132.873837	148.592022
AT3G01350_c1	13.911277	0.0	0.0
AT3G01360.1	9.542429	0.0	0.0
